name|grid|country|nyrs|first|last|type|lat|lon|x|y|p_ukbms
Folkestone Escarpment|TR217381|England|35|1987|2023|UKBMS|51.0993|1.1651|5.001|3.343|0.7007
Smardale Gill|NY725066|England|29|1989|2023|UKBMS|54.4540|-2.4257|1.354|-1.117|0.8830
Mottistone Down|SZ416845|England|34|1989|2023|UKBMS|50.6587|-1.4128|6.652|3.443|0.7918
Church Place|SU342099|England|33|1989|2023|UKBMS|50.8876|-1.5152|0.731|-3.170|0.9758
Pitts Wood|SU200149|England|13|1989|2023|UKBMS|50.9332|-1.7168|1.002|-0.795|0.9700
Tadnoll|SY791875|England|35|1989|2023|UKBMS|50.6868|-2.2972|7.043|3.453|0.6839
Bovey Valley|SX783797|England|34|1989|2023|UKBMS|50.6043|-3.7211|0.421|-2.214|0.8417
East Blean Woods|TR193643|England|29|1989|2023|UKBMS|51.3355|1.1469|-1.193|-2.660|0.9255
Somerford Common|SU028864|England|30|1989|2023|UKBMS|51.5765|-1.9610|-1.180|-1.780|0.9653
Blean Woods|TR114608|England|32|1991|2023|UKBMS|51.3070|1.0316|0.053|-3.945|0.9363
Loch Fleet|NH814964|Scotland|27|1993|2023|UKBMS|57.9411|-4.0050|-1.167|2.359|0.8627
St Cyrus (new)|NO749640|Scotland|37|1983|2023|UKBMS|56.7669|-2.4122|2.274|3.230|0.9004
Brodick Country Park|NS019382|Scotland|26|1995|2023|UKBMS|55.5970|-5.1457|4.055|0.979|0.8666
Shabbington Wood (new)|SP611102|England|28|1995|2023|UKBMS|51.7871|-1.1156|1.458|-2.696|0.9769
Denge Wood|TR106513|England|28|1993|2023|UKBMS|51.2220|1.0145|0.831|1.891|0.7681
Fontmell Down (new)|ST885180|England|44|1980|2023|UKBMS|50.9613|-2.1651|1.947|1.040|0.9790
Mabie Forest|NX927703|Scotland|24|1995|2023|UKBMS|55.0156|-3.6796|0.290|-0.745|0.9697
Bishop Middleham Quarry|NZ332327|England|24|1997|2022|UKBMS|54.6883|-1.4865|1.229|3.345|0.7499
Blackford Hill|NT254703|Scotland|19|1999|2023|UKBMS|55.9200|-3.1952|1.344|-1.245|0.9690
Sands of Forvie (new)|NK010260|Scotland|25|1999|2023|UKBMS|57.3245|-1.9850|1.194|2.844|0.6783
Great Orme|SH764827|Wales|24|1999|2023|UKBMS|53.3267|-3.8573|0.928|3.039|0.9465
Grange Farm (North) A|TL330627|England|23|2000|2023|UKBMS|52.2464|-0.0533|6.641|1.828|0.4111
Grange Farm (South)|TL332623|England|23|2000|2023|UKBMS|52.2428|-0.0506|6.893|0.345|0.5905
St. Abb's Head|NT913687|Scotland|24|1999|2023|UKBMS|55.9113|-2.1407|-1.721|4.457|0.8321
Lochaber|NX922699|Scotland|12|2000|2023|UKBMS|55.0119|-3.6873|-1.890|0.011|0.4347
Cheriton Hill|TR200381|England|24|1992|2023|UKBMS|51.1000|1.1409|6.153|3.857|0.7961
Grange Farm (North) B|TL331620|England|23|2000|2023|UKBMS|52.2401|-0.0521|10.584|1.794|0.0437
Glasdrum|NN000450|Scotland|19|2002|2022|UKBMS|56.5543|-5.2557|-2.667|5.454|0.7959
Cavenham Heath|TL754725|England|20|2003|2023|UKBMS|52.3226|0.5722|5.261|3.122|0.9171
Wootton Coppice|SZ247995|England|18|2004|2023|UKBMS|50.7945|-1.6509|0.577|1.266|0.8909
Tentsmuir Point North Revised|NO499276|Scotland|19|2005|2023|UKBMS|56.4379|-2.8141|-2.549|1.159|0.8768
Morton Lochs|NO463268|Scotland|19|2004|2023|UKBMS|56.4303|-2.8723|2.518|-2.059|0.8897
Tentsmuir Point South Revised|NO500270|Scotland|18|2006|2023|UKBMS|56.4325|-2.8124|-1.997|1.177|0.7967
Porton Down|SU247367|England|28|1994|2023|UKBMS|51.1291|-1.6484|3.159|3.446|0.8714
Moor House|NY751332|England|31|1993|2023|UKBMS|54.6932|-2.3878|-0.678|2.430|0.3131
Wytham|SP464096|England|31|1993|2023|UKBMS|51.7831|-1.3288|6.740|1.015|0.0373
North Wyke|SX660985|England|30|1993|2023|UKBMS|50.7706|-3.9017|-0.048|5.804|0.3375
Alice Holt|SU801399|England|30|1994|2023|UKBMS|51.1528|-0.8561|-1.016|-2.679|0.9460
Stockbridge Down|SU382348|England|38|1983|2023|UKBMS|51.1112|-1.4557|3.730|3.615|0.8742
Ashford Hangers 1|SU742268|England|24|1987|2023|UKBMS|51.0358|-0.9431|-1.536|-0.779|0.6887
Badminston Common|SU460020|England|25|1993|2023|UKBMS|50.8157|-1.3484|-0.379|2.950|0.9661
Beacon Hill|SU603227|England|43|1980|2023|UKBMS|51.0005|-1.1420|3.279|2.794|0.9830
Bentley Station Meadow|SU794430|England|31|1993|2023|UKBMS|51.1807|-0.8654|-1.095|-1.977|0.9363
Bonchurch Down|SZ5733678652|England|31|1993|2023|UKBMS|50.6048|-1.1911|0.092|5.444|0.2700
Claylands|SU547181|England|28|1996|2023|UKBMS|50.9597|-1.2225|1.792|0.811|0.9262
Farlington Marshes Route A|SU688047|England|26|1993|2023|UKBMS|50.8377|-1.0243|6.552|4.257|0.5680
Lower Test Marshes|SU364149|England|33|1991|2023|UKBMS|50.9324|-1.4834|5.260|4.142|0.4050
Magdalen Hill Down|SU503292|England|34|1990|2023|UKBMS|51.0599|-1.2836|2.509|2.085|0.8777
Magdalen Hill Down extension|SU515292|England|28|1996|2023|UKBMS|51.0598|-1.2665|6.590|4.072|0.8240
Martin Down Kitts Grave|SU034203|England|39|1985|2023|UKBMS|50.9821|-1.9529|1.023|-2.594|0.9481
Martin Down North|SU045190|England|42|1982|2023|UKBMS|50.9704|-1.9373|3.967|3.786|0.8166
Noar Hill|SU741320|England|41|1983|2023|UKBMS|51.0825|-0.9435|1.820|1.356|0.9744
