name|grid|country|nyrs|first|last|type|lat|lon|x|y|p_ukbms
Ailwood Down|SY994814|England|16|2007|2023|UKBMS|50.6323|-2.0098|4.343|3.361|0.9283
Binbarrow|SY494886|England|13|2010|2023|UKBMS|50.6948|-2.7178|0.556|4.741|0.6903
Chard Junction|ST345044|England|14|2010|2023|UKBMS|50.8354|-2.9315|0.725|-2.972|0.9608
Slop Bog|SU078017|England|17|2007|2023|UKBMS|50.8148|-1.8907|-0.865|2.865|0.9561
Ferry Road West|SZ025845|England|13|2011|2023|UKBMS|50.6602|-1.9660|0.393|2.961|0.9480
Black Hill|ST668005|England|13|2011|2023|UKBMS|50.8031|-2.4725|4.315|2.213|0.7033
Brotheridge Green|SO815412|England|21|1998|2023|UKBMS|52.0689|-2.2713|7.574|4.660|0.3819
Castlemorton Common|SO781394|England|24|1998|2023|UKBMS|52.0525|-2.3208|3.188|1.274|0.7035
Chaddesley Wood|SO912735|England|38|1984|2023|UKBMS|52.3595|-2.1306|2.309|-1.364|0.9509
Chase End Hill|SO759358|England|29|1992|2023|UKBMS|52.0201|-2.3526|1.480|0.537|0.7378
Coppet Hill|SO576180|England|28|1994|2023|UKBMS|51.8590|-2.6171|1.793|-0.695|0.8968
Crickley Hill|SO931163|England|25|1996|2023|UKBMS|51.8453|-2.1016|2.053|-1.934|0.8380
Ewyas Harold Common|SO387295|England|24|1999|2023|UKBMS|51.9606|-2.8935|-0.789|0.703|0.8995
Grafton Wood|SO975560|England|25|1998|2023|UKBMS|52.2022|-2.0380|9.158|1.326|0.8450
Haugh Wood South|SO590360|England|37|1987|2023|UKBMS|52.0209|-2.5989|-1.990|0.744|0.9001
Knapp & Papermill|SO748517|England|40|1984|2023|UKBMS|52.1630|-2.3698|5.624|1.783|0.7017
Lineover Wood|SO987189|England|33|1991|2023|UKBMS|51.8687|-2.0203|1.696|-1.894|0.4733
Miserden (Bull Banks)|SO948084|England|34|1988|2023|UKBMS|51.7742|-2.0768|-0.313|-0.748|0.8043
Monk Wood 1|SO803603|England|37|1986|2023|UKBMS|52.2405|-2.2899|-1.327|-2.550|0.8066
Prestbury Hill|SO992244|England|20|1992|2023|UKBMS|51.9181|-2.0130|2.939|3.498|0.5522
Rodborough Common|SO848027|England|23|1993|2023|UKBMS|51.7228|-2.2214|-1.750|-2.356|0.7184
Ryton Wood & Pool|SP379726|England|34|1990|2023|UKBMS|52.3502|-1.4450|1.868|-2.442|0.9605
Stinchcombe A|ST740983|England|21|1988|2023|UKBMS|51.6829|-2.3775|6.630|3.620|0.2113
Stinchcombe B|ST740984|England|22|1988|2023|UKBMS|51.6838|-2.3775|6.606|3.498|0.2631
Wetmoor|ST744876|England|19|1988|2023|UKBMS|51.5867|-2.3709|-1.068|-3.249|0.8627
Windmill Hill|SP070472|England|33|1982|2023|UKBMS|52.1231|-1.8992|1.262|4.076|0.5034
Wyre Forest West|SO735761|England|35|1989|2023|UKBMS|52.3823|-2.3908|-0.638|-3.529|0.7708
St Wulstans LNR|SO784414|England|22|2002|2023|UKBMS|52.0705|-2.3165|2.269|-0.253|0.9628
Bishops Heaps|SP393582|England|24|1999|2023|UKBMS|52.2206|-1.4261|0.365|4.009|0.8289
Hearsall Common 04|SP308786|England|18|2004|2023|UKBMS|52.4045|-1.5487|1.157|5.245|0.8954
Bentley Wood - Barnridge|SU242295|England|36|1988|2023|UKBMS|51.0643|-1.6560|-0.131|-4.092|0.7029
Bentley Wood - Eastern|SU258291|England|36|1988|2023|UKBMS|51.0607|-1.6332|1.992|-3.005|0.8925
Bentley Wood - North|SU250300|England|38|1986|2023|UKBMS|51.0688|-1.6446|-1.355|-1.965|0.8727
Bentley Wood - South|SU251283|England|37|1987|2023|UKBMS|51.0535|-1.6433|0.939|-2.746|0.9249
Biss Wood|ST877567|England|36|1987|2023|UKBMS|51.3093|-2.1778|-0.245|-1.734|0.9389
Blackmoor Copse (WWT)|SU235291|England|37|1983|2023|UKBMS|51.0608|-1.6660|-1.223|-3.238|0.7684
Boscombe Down O (WCC)|SU185408|England|24|1995|2023|UKBMS|51.1661|-1.7368|6.926|4.595|0.4894
Bratton Castle Earthworks (EH)|ST905514|England|44|1980|2023|UKBMS|51.2617|-2.1375|4.770|4.190|0.4921
Dean Hill (West) (NT)|SU226259|England|23|1996|2023|UKBMS|51.0320|-1.6791|3.129|2.632|0.9597
Green Lane Wood (WWT)|ST882576|England|33|1991|2023|UKBMS|51.3174|-2.1707|1.436|-2.228|0.9255
KAC towpath, Bradford-on-Avon|ST828597|England|43|1980|2023|UKBMS|51.3361|-2.2483|0.594|1.758|0.8402
Middle Street Meadow, Salisbury|SU134295|England|26|1994|2023|UKBMS|51.0647|-1.8102|1.123|0.765|0.6797
Porton Dn.2 (Tower Hill Wood)|SU238387|England|27|1995|2023|UKBMS|51.1471|-1.6611|1.538|-2.622|0.8971
Roundway Hill Covert (WWT)|SU003641|England|26|1981|2023|UKBMS|51.3760|-1.9971|-1.308|-0.858|0.8963
Vagg's Hill|ST807560|England|32|1982|2023|UKBMS|51.3028|-2.2782|8.747|1.470|0.5806
Webb's Wood (FC)|SU045857|England|21|1996|2023|UKBMS|51.5702|-1.9365|-0.365|-2.888|0.9198
West Yatton Down|ST853759|England|26|1996|2023|UKBMS|51.4819|-2.2131|1.380|2.214|0.4786
White Sheet Hill Quarry (NT)|ST799351|England|20|1999|2023|UKBMS|51.1148|-2.2885|2.242|1.300|0.7570
Bentley Wood Hawksgrove|SU237281|England|26|1998|2023|UKBMS|51.0518|-1.6633|-1.754|-1.836|0.8145
Morgan's Hill SSSI|SU027671|England|12|2004|2023|UKBMS|51.4029|-1.9626|4.440|3.973|0.5423
Wadswick Common|ST837676|England|12|2004|2023|UKBMS|51.4072|-2.2357|3.211|3.520|0.7909
Barbury Castle|SU149762|England|19|2005|2023|UKBMS|51.4846|-1.7868|4.243|3.809|0.5916
Figsbury Ring|SU188338|England|15|2006|2023|UKBMS|51.1032|-1.7329|4.078|3.623|0.8416
Red Lodge Wood|SU054887|England|10|2007|2023|UKBMS|51.5971|-1.9234|-0.872|-2.904|0.9257
Tucking Mill Tisbury|ST936290|England|16|2006|2023|UKBMS|51.0603|-2.0927|2.580|2.014|0.9326
Blakehill Farm|SU074915|England|14|2009|2023|UKBMS|51.6223|-1.8945|3.812|3.212|0.6942
Ravens Roost Wood|SU023881|England|12|2011|2023|UKBMS|51.5917|-1.9682|-1.070|-2.821|0.9022
Vernditch|SU035206|England|11|2013|2023|UKBMS|50.9848|-1.9515|-0.225|-2.164|0.9306
Fitzmaurice School Field, Bradford-on-Avon|ST828601|England|10|2014|2023|UKBMS|51.3397|-2.2483|6.254|2.398|0.4989
Hinton Parva Combe|SU227825|England|6|2015|2023|UKBMS|51.5409|-1.6741|6.356|2.715|0.3597
Stratton Wood|SU165891|England|9|2015|2023|UKBMS|51.6005|-1.7632|-0.477|-3.415|0.9358
Langley Wood|SU225203|England|9|2015|2023|UKBMS|50.9817|-1.6809|-1.704|-2.025|0.9168
Coombe Bissett SSSI|SU111248|England|9|2015|2023|UKBMS|51.0225|-1.8431|3.546|1.707|0.5572
Danks Down (2015 route)|ST842748|England|9|2015|2023|UKBMS|51.4719|-2.2289|1.511|-1.437|0.9497
Winterbourne Downs Loop 2013|SU223394|England|8|2015|2023|UKBMS|51.1534|-1.6825|3.263|3.527|0.7586
Winterbourne Downs Beaumont's|SU213403|England|7|2016|2023|UKBMS|51.1616|-1.6968|3.254|3.427|0.9527
Newton Tony, RSPB|SU224394|England|7|2017|2023|UKBMS|51.1534|-1.6811|3.068|3.420|0.8751
North Meadow, Bradford-on-Avon (1)|ST820605|England|7|2017|2023|UKBMS|51.3433|-2.2598|0.782|0.083|0.7293
SPTA Larkhill LACGEN2|SU133453|England|7|2017|2023|UKBMS|51.2068|-1.8110|0.476|4.101|0.8775
SPTA Larkhill, Horne Barracks|SU123445|England|7|2017|2023|UKBMS|51.1996|-1.8253|2.556|2.473|0.8693
Parsonage Down|SU037414|England|6|2018|2023|UKBMS|51.1718|-1.9485|4.585|2.741|0.7158
Avebury Waden Hill|SU107688|England|5|2018|2023|UKBMS|51.4181|-1.8475|6.224|4.525|0.4532
Normanton Down|SU117412|England|5|2018|2023|UKBMS|51.1699|-1.8340|6.765|4.719|0.5554
Cholderton|SU226421|England|5|2019|2023|UKBMS|51.1777|-1.6781|2.904|2.064|0.8000
Lime Kiln Down|SU144281|England|5|2019|2023|UKBMS|51.0521|-1.7959|2.973|2.707|0.8786
Hazel Hill Wood|SU219283|England|5|2019|2023|UKBMS|51.0536|-1.6889|-0.921|-3.082|0.8561
Calstone 1|SU041692|England|4|2019|2022|UKBMS|51.4218|-1.9424|4.850|3.765|0.8909
Calstone 2|SU046685|England|4|2019|2022|UKBMS|51.4155|-1.9352|3.506|3.404|0.9282
Cloatley Meadows|ST979912|England|4|2020|2023|UKBMS|51.6196|-2.0317|3.028|1.606|0.6633
Coombe Bissett Down|SU111256|England|2|2020|2023|UKBMS|51.0297|-1.8431|6.077|2.640|0.8000
Pewsey Downs West (Milk Hill)|SU098643|England|4|2020|2023|UKBMS|51.3777|-1.8606|5.954|4.299|0.5264
Pimlico Fields|SU218188|England|3|2021|2023|UKBMS|50.9682|-1.6909|6.713|3.969|0.7612
Cloven Hill|SU230178|England|3|2021|2023|UKBMS|50.9592|-1.6739|-0.749|3.196|0.3429
Dinton Park|SU005316|England|3|2021|2023|UKBMS|51.0837|-1.9942|6.466|3.996|0.8275
High Clear Down (WWT)|SU236764|England|2|2022|2023|UKBMS|51.4861|-1.6615|4.892|3.895|0.8687
Hazeland|ST975719|England|2|2022|2023|UKBMS|51.4461|-2.0374|-0.530|-2.190|0.8024
Bannerdown|ST791685|England|27|1996|2023|UKBMS|51.4151|-2.3019|0.565|-2.984|0.7944
Stoke Camp|ST492512|England|29|1995|2023|UKBMS|51.2577|-2.7294|4.651|3.918|0.4736
Cross Plain|ST415555|England|29|1993|2023|UKBMS|51.2956|-2.8404|4.681|2.555|0.8598
Buckland Wood|ST187178|England|27|1997|2023|UKBMS|50.9539|-3.1588|-1.338|-2.045|0.9380
Dolebury Warren|ST455589|England|5|2015|2023|UKBMS|51.3266|-2.7836|4.532|3.497|0.8212
Langford Heathfield|ST100235|England|33|1991|2023|UKBMS|51.0038|-3.2841|1.647|-2.035|0.8647
Mount Fancy Combined|ST248167|England|22|2002|2023|UKBMS|50.9448|-3.0718|2.074|-2.783|0.9226
Carymoor Environmental Centre|ST615308|England|22|2001|2023|UKBMS|51.0752|-2.5509|-1.137|-0.547|0.9246
Crook Peak|ST390551|England|22|2002|2023|UKBMS|51.2917|-2.8762|4.204|2.156|0.7133
Shapwick Heath|ST423412|England|11|2003|2023|UKBMS|51.1671|-2.8266|1.458|1.346|0.8036
Dundon Beacon|ST485324|England|21|2003|2023|UKBMS|51.0886|-2.7367|0.881|-2.231|0.8747
Redding Pit Quarry|ST535637|England|19|2005|2023|UKBMS|51.3704|-2.6694|2.627|-0.907|0.8840
Hucker's Bow, Sand Point|ST348665|England|18|2006|2023|UKBMS|51.3938|-2.9385|2.682|1.979|0.7298
Westbury Beacon|ST501507|England|17|2007|2023|UKBMS|51.2533|-2.7164|-0.205|2.766|0.9365
Walton Common|ST428738|England|17|2007|2023|UKBMS|51.4603|-2.8247|1.797|0.989|0.9126
Weston Moor Nature Reserve|ST440742|England|17|2007|2023|UKBMS|51.4640|-2.8075|0.546|-1.796|0.9260
Carymoor: Upper Dauntsey Field|ST618319|England|16|2007|2023|UKBMS|51.0851|-2.5468|0.122|5.979|0.3919
Brent Knoll|ST341510|England|16|2008|2023|UKBMS|51.2543|-2.9457|6.995|5.241|0.5556
Draycott Sleights (2008)|ST483516|England|16|2008|2023|UKBMS|51.2612|-2.7423|2.846|1.784|0.7450
Bossington|SS897482|England|16|2008|2023|UKBMS|51.2223|-3.5808|2.189|-2.892|0.9332
Wookey Hole Fields|ST534480|England|16|2008|2023|UKBMS|51.2293|-2.6688|3.965|0.699|0.9133
Kings Castle Wood|ST568456|England|14|2009|2022|UKBMS|51.2080|-2.6198|0.336|-1.294|0.8054
Lords Wood|ST633632|England|14|2009|2023|UKBMS|51.3667|-2.5286|-0.578|-2.742|0.7805
Clifton-Durdham Down|ST566743|England|14|2010|2023|UKBMS|51.4660|-2.6262|4.494|0.634|0.8872
Charfield Meadow|ST717936|England|10|2010|2023|UKBMS|51.6405|-2.4104|2.195|4.575|0.3541
Goblin Combe|ST476651|England|6|2010|2023|UKBMS|51.3825|-2.7543|2.385|-1.828|0.9092
Weston Big Wood|ST457752|England|15|2008|2023|UKBMS|51.4731|-2.7832|-0.693|-1.142|0.9146
The Gulley & Walcombe Slade, Avon Gorge|ST563746|England|14|2010|2023|UKBMS|51.4687|-2.6305|1.884|1.336|0.8989
Green Down|ST517288|England|10|2011|2023|UKBMS|51.0565|-2.6905|2.762|1.264|0.8674
Lynchcombe|ST516490|England|16|2008|2023|UKBMS|51.2381|-2.6947|0.902|2.378|0.5876
Loch Gruinart (AO48)|NR277677|Scotland|16|2006|2023|UKBMS|55.8255|-6.3495|1.414|0.801|0.7594
Falls of Clyde|NS882422|Scotland|20|2001|2023|UKBMS|55.6604|-3.7787|4.021|1.522|0.6823
The Lein|NJ332657|Scotland|20|1997|2023|UKBMS|57.6762|-3.1217|-0.885|2.666|0.7717
Crombie Country Park|NO520400|Scotland|20|2001|2023|UKBMS|56.5495|-2.7823|10.295|2.505|0.1416
Newhailes|NT328727|Scotland|17|2003|2023|UKBMS|55.9426|-3.0775|8.721|1.130|0.3738
Cathkin Braes (2)|NS614583|Scotland|16|2001|2023|UKBMS|55.7980|-4.2125|0.192|0.082|0.9169
Arienas Wood|NM672522|Scotland|24|1989|2023|UKBMS|56.6037|-5.7946|-0.593|-0.243|0.9558
Auchtermuchty Common|NO240129|Scotland|14|2003|2023|UKBMS|56.3024|-3.2298|8.742|0.280|0.4369
Commonhead Moss|NS699665|Scotland|19|1999|2023|UKBMS|55.8740|-4.0809|3.054|4.112|0.8797
RSPB Scotland Baron's Haugh reserve|NS750550|Scotland|16|2003|2023|UKBMS|55.7721|-3.9942|-2.320|4.463|0.8229
Dunnet butterfly transect|ND223698|Scotland|32|1986|2023|UKBMS|58.6092|-3.3390|-2.157|1.253|0.9186
Eglinton Park|NS330410|Scotland|16|2003|2023|UKBMS|55.6338|-4.6545|6.620|0.561|0.8058
Glencoe|NN118567|Scotland|19|2003|2023|UKBMS|56.6641|-5.0725|-0.046|0.499|0.6719
South Haugh|NS731554|Scotland|19|2005|2023|UKBMS|55.7752|-4.0246|-0.398|-2.164|0.7924
Holyrood Park - Hunters Bog|NT274734|Scotland|19|2005|2023|UKBMS|55.9481|-3.1641|-0.042|1.396|0.6824
Dunsapie Crag|NT282732|Scotland|22|2002|2023|UKBMS|55.9465|-3.1512|3.066|2.150|0.7641
Sanford Moor|NS723434|Scotland|17|2007|2023|UKBMS|55.6673|-4.0318|-1.134|2.364|0.8029
Balblair Wood|NH599942|Scotland|17|2007|2023|UKBMS|57.9151|-4.3665|-2.282|0.139|0.5822
Aberlady Bay|NT465815|Scotland|17|2007|2023|UKBMS|56.0234|-2.8599|0.055|1.340|0.9389
John Muir Country Park|NT650790|Scotland|13|2009|2023|UKBMS|56.0027|-2.5628|-0.047|2.172|0.8839
Yellowcraig|NT515856|Scotland|14|2009|2023|UKBMS|56.0608|-2.7804|0.440|3.033|0.5825
Levenhall|NT358735|Scotland|10|2013|2023|UKBMS|55.9502|-3.0296|1.405|3.834|0.8999
Gullane East|NT481834|Scotland|12|2009|2023|UKBMS|56.0407|-2.8346|1.260|-0.723|0.9312
SWT Gailes Marsh|NS323359|Scotland|8|2009|2023|UKBMS|55.5878|-4.6625|0.356|4.748|0.8815
Clune|NT170954|Scotland|10|2007|2023|UKBMS|56.1441|-3.3374|4.120|2.910|0.8195
Cocksburn Reservoir, Bridge of Allan|NS805985|Scotland|14|2009|2023|UKBMS|56.1641|-3.9259|-2.430|0.230|0.7865
Linlithgow Loch Transect 1 - Fiddlers Croft|NT008776|Scotland|11|2006|2022|UKBMS|55.9811|-3.5914|0.363|2.102|0.8471
Linlithgow Loch Transect 2 - North Side|NT002777|Scotland|12|2006|2023|UKBMS|55.9819|-3.6010|-2.321|4.643|0.9698
Cullaloe Local Nature Reserve|NT187875|Scotland|9|2009|2023|UKBMS|56.0734|-3.3076|0.244|0.186|0.9752
Cammo Estate|NT175747|Scotland|11|2009|2023|UKBMS|55.9582|-3.3230|1.002|-1.162|0.9622
Gullane West|NT468830|Scotland|8|2009|2023|UKBMS|56.0369|-2.8554|2.961|3.051|0.9369
Barns Ness|NT718771|Scotland|15|2009|2023|UKBMS|55.9860|-2.4536|2.758|2.777|0.9047
Hailes ROW|NT592774|Scotland|14|2009|2023|UKBMS|55.9878|-2.6555|1.154|0.348|0.8463
Loch Leven - Railway (8-10)|NO122010|Scotland|7|2008|2023|UKBMS|56.1935|-3.4165|6.174|0.229|0.8430
Jupiter Urban Wildlife Centre|NS918810|Scotland|13|2010|2023|UKBMS|56.0097|-3.7369|0.240|-0.905|0.9755
Alva Glen revised|NS885978|Scotland|13|2010|2023|UKBMS|56.1598|-3.7968|-0.894|0.868|0.8816
Bradburys (Huberts) Bank|SK151561|England|16|1994|2023|UKBMS|53.1019|-1.7759|3.677|2.089|0.5540
Dane-in-Shaw Pasture|SJ878626|England|24|2000|2023|UKBMS|53.1604|-2.1839|4.405|2.199|0.8295
Swettenham Meadows|SJ804675|England|18|2005|2023|UKBMS|53.2042|-2.2949|5.077|1.030|0.6920
Woolston Eyes|SJ652881|England|17|2006|2023|UKBMS|53.3886|-2.5247|-2.263|4.349|0.9670
Brereton Heath Country Park|SJ797651|England|14|2010|2023|UKBMS|53.1826|-2.3052|3.235|-1.256|0.8410
Teggs Nose|SJ947723|England|11|2013|2023|UKBMS|53.2477|-2.0809|0.358|1.656|0.8851
Danes Moss to Sutton Reservoir|SJ910706|England|9|2015|2023|UKBMS|53.2324|-2.1363|0.685|-2.715|0.9439
Tytherington - Marlborough Drive Woods|SJ918756|England|9|2015|2023|UKBMS|53.2773|-2.1244|2.945|0.329|0.8119
Cleaver Heath|SJ257826|England|6|2017|2023|UKBMS|53.3351|-3.1172|0.172|-1.432|0.8794
RSPB Burton Mere Wetlands|SJ314734|England|5|2017|2023|UKBMS|53.2532|-3.0297|0.405|2.565|0.8363
New Ferry Butterfly Park|SJ333850|England|7|2017|2023|UKBMS|53.3577|-3.0036|0.301|6.160|0.6183
Hatchmere|SJ551721|England|6|2017|2023|UKBMS|53.2440|-2.6743|-2.501|0.917|0.7821
Sankey Valley Park|SJ592894|England|7|2017|2023|UKBMS|53.3998|-2.6151|3.357|-1.229|0.9295
Leftwich Woods|SJ666717|England|7|2017|2023|UKBMS|53.2413|-2.5019|0.684|-1.308|0.8380
Ashton's Flash, Northwich|SJ666749|England|7|2017|2023|UKBMS|53.2700|-2.5023|1.270|1.541|0.8841
Cluse Hey (Lyme Park)|SJ958814|England|4|2018|2022|UKBMS|53.3295|-2.0645|-0.024|1.537|0.7978
Caldecott|SJ435522|England|6|2018|2023|UKBMS|53.0640|-2.8446|5.331|1.316|0.4542
Elmerhurst (Lyme Park)|SJ963837|England|5|2018|2023|UKBMS|53.3502|-2.0570|4.430|4.662|0.2250
Riverside Park Macclesfield|SJ913745|England|6|2018|2023|UKBMS|53.2674|-2.1319|0.792|-3.093|0.8386
Yew Tree Farm|SJ723876|England|4|2018|2023|UKBMS|53.3845|-2.4179|5.860|5.382|0.4580
Kelsall 1|SJ523681|England|5|2019|2023|UKBMS|53.2078|-2.7156|6.080|5.697|0.0592
Caldy Nature Park|SJ423649|England|5|2019|2023|UKBMS|53.1781|-2.8648|1.852|4.757|0.4496
Quarry Bank Revised|SJ834830|England|5|2019|2023|UKBMS|53.3436|-2.2508|1.427|3.605|0.8001
Tatton Park|SJ758819|England|5|2019|2023|UKBMS|53.3335|-2.3649|4.371|4.485|0.6052
Bickerton Hills 2|SJ495527|England|5|2019|2023|UKBMS|53.0691|-2.7551|0.084|-3.997|0.7976
Wallasey Sandhills|SJ276925|England|5|2019|2023|UKBMS|53.4243|-3.0910|1.152|3.741|0.7863
Whiteoak Wood (revised)|SJ732880|England|2|2019|2022|UKBMS|53.3882|-2.4044|3.028|-1.667|0.8942
Kerridge Hill|SJ944759|England|5|2019|2023|UKBMS|53.2800|-2.0854|2.349|2.301|0.5959
Dunham Massey Gardens|SJ736874|England|2|2022|2023|UKBMS|53.3828|-2.3984|-0.219|-1.520|0.5437
Crown Farm Sand Quarry|SJ572704|England|4|2020|2023|UKBMS|53.2289|-2.6426|-1.961|4.585|0.8632
Marshall's Arm Revision 2021|SJ649721|England|3|2021|2023|UKBMS|53.2448|-2.5274|-1.106|-1.862|0.9351
Marbury (Including Flashes and Big Wood)|SJ660758|England|3|2021|2023|UKBMS|53.2781|-2.5114|5.487|4.424|0.7638
Garden (Lyme Park)|SJ965823|England|3|2021|2023|UKBMS|53.3376|-2.0540|4.476|4.764|0.2987
Hatchmere (Beaver Enclosure)|SJ547723|England|3|2021|2023|UKBMS|53.2458|-2.6803|1.958|0.181|0.8914
Macclesfield Forest|SJ959710|England|3|2021|2023|UKBMS|53.2360|-2.0629|-0.670|-2.386|0.7301
Nantwich Lake and River Weaver (Revised)|SJ648515|England|3|2021|2023|UKBMS|53.0596|-2.5267|5.657|4.783|0.5186
Alderley Edge Stormy Point|SJ860770|England|2|2021|2022|UKBMS|53.2898|-2.2115|-0.485|-2.115|0.7769
Jacksons' Brickworks Local Nature Reserve|SJ947845|England|3|2021|2023|UKBMS|53.3574|-2.0811|-1.397|4.243|0.8436
Cross Lane|SJ289916|England|3|2021|2023|UKBMS|53.4164|-3.0712|0.053|-1.481|0.8368
Alderley Edge Mottram Quarry|SJ862776|England|2|2021|2022|UKBMS|53.2952|-2.2085|4.769|0.840|0.7166
Countess of Chester Country Park 2|SJ396687|England|2|2022|2023|UKBMS|53.2119|-2.9059|5.605|1.202|0.5281
St Michael's Eco Park|SJ499849|England|2|2022|2023|UKBMS|53.3586|-2.7542|1.612|-0.184|0.7824
Macclesfield Leisure Centre & Athletics Track|SJ891745|England|2|2022|2023|UKBMS|53.2674|-2.1649|0.626|4.123|0.0580
Bosley Cloud|SJ902635|England|2|2022|2023|UKBMS|53.1685|-2.1481|-1.558|0.267|0.6250
Breadsall Cutting|SK385397|England|42|1982|2023|UKBMS|52.9533|-1.4284|5.782|3.622|0.4346
West Hallam Ash Tip|SK439424|England|37|1987|2023|UKBMS|52.9772|-1.3477|-1.115|-1.333|0.9198
Carsington Water|SK248528|England|30|1994|2023|UKBMS|53.0719|-1.6313|5.598|1.631|0.6795
Aston Brickyard Plantation|SK413303|England|24|2000|2023|UKBMS|52.8686|-1.3879|-1.252|-1.505|0.9137
Derbyshire Dales Section 12|SK161661|England|23|2001|2023|UKBMS|53.1917|-1.7605|2.724|3.466|0.7051
Shiningford, Carsington Water|SK239517|England|16|2008|2023|UKBMS|53.0620|-1.6448|5.845|4.660|0.3869
Cinderhill, Shipley Country Park, Heanor|SK431452|England|16|2008|2023|UKBMS|53.0024|-1.3592|0.946|3.533|0.4338
Darley and Nutwood Wildlife Site, Derby|SK355388|England|15|2009|2023|UKBMS|52.9454|-1.4731|2.707|1.155|0.9707
Eyes Meadow, Duffield|SK348432|England|14|2010|2023|UKBMS|52.9850|-1.4831|2.403|1.521|0.9076
Brocks Hill Country Park, Leicester|SP619996|England|15|2009|2023|UKBMS|52.5907|-1.0877|5.341|1.604|0.7223
Crich Chase Meadows|SK352523|England|10|2012|2023|UKBMS|53.0668|-1.4761|0.249|-3.926|0.7667
Millers Dale Quarry|SK140731|England|12|2012|2023|UKBMS|53.2547|-1.7916|-0.046|-1.978|0.7573
Chee Dale NR|SK128735|England|12|2012|2023|UKBMS|53.2584|-1.8096|0.544|-2.030|0.9470
Woodside NR, Shipley|SK448436|England|12|2012|2023|UKBMS|52.9879|-1.3341|5.372|3.908|0.6883
Avenue Washlands NR, Wingerworth|SK398668|England|12|2012|2023|UKBMS|53.1968|-1.4057|2.013|0.862|0.9668
Beeston Sidings|SK545375|England|10|2014|2023|UKBMS|52.9321|-1.1906|6.723|3.297|0.5952
Potwell Dyke Grasslands, Southwell|SK702534|England|10|2014|2023|UKBMS|53.0732|-0.9537|2.687|0.402|0.7740
Hammersmith Meadows LNR, Ripley|SK398515|England|10|2014|2023|UKBMS|53.0593|-1.4076|2.205|-2.832|0.8696
Carr Wood LNR, Ripley|SK402511|England|10|2014|2023|UKBMS|53.0556|-1.4017|1.543|-3.058|0.8251
Drakelow NR North|SK226204|England|10|2013|2023|UKBMS|52.7807|-1.6664|-2.570|5.078|0.7244
Bingham Linear Park|SK715385|England|11|2013|2023|UKBMS|52.9391|-0.9375|3.087|1.210|0.7109
Poulter Country Park|SK525706|England|11|2013|2023|UKBMS|53.2299|-1.2150|5.550|1.307|0.8748
Creswell Crags|SK532741|England|11|2013|2023|UKBMS|53.2612|-1.2039|5.433|2.277|0.6135
Hollinhill & Markland Grips|SK507751|England|11|2013|2023|UKBMS|53.2705|-1.2412|8.878|0.575|0.1916
Whitwell Woods|SK524780|England|11|2013|2023|UKBMS|53.2964|-1.2153|-0.421|-3.914|0.7594
Radcliffe Wood|SK650381|England|11|2013|2023|UKBMS|52.9364|-1.0343|0.433|-1.503|0.9734
Greenfields, Buxworth|SK027822|England|11|2013|2023|UKBMS|53.3367|-1.9609|0.152|-1.473|0.9301
Jim Mart Nature Reserve|SK368648|England|11|2013|2023|UKBMS|53.1790|-1.4508|4.217|2.552|0.7410
Toton Washlands|SK485346|England|11|2013|2023|UKBMS|52.9067|-1.2803|1.272|5.525|0.6701
Ticknall Limeyards|SK359234|England|7|2013|2023|UKBMS|52.8070|-1.4689|6.126|4.029|0.6611
Findern Footpaths|SK314303|England|11|2013|2023|UKBMS|52.8693|-1.5350|3.251|0.189|0.7503
Calke Park|SK363229|England|6|2013|2023|UKBMS|52.8024|-1.4630|1.154|1.732|0.8886
Rosliston Forestry Centre|SK245177|England|11|2013|2023|UKBMS|52.7564|-1.6384|4.665|3.283|0.8860
Hartshorne Wood|SK330218|England|11|2013|2023|UKBMS|52.7928|-1.5121|0.387|-3.315|0.9114
Gresley Wood|SK296173|England|11|2013|2023|UKBMS|52.7525|-1.5629|1.838|0.135|0.9308
Markham North Tip|SK453729|England|11|2013|2023|UKBMS|53.2512|-1.3225|-1.143|-1.101|0.8413
Hartington Meadows|SK152611|England|11|2013|2023|UKBMS|53.1468|-1.7742|4.366|3.615|0.7263
Kedleston Park|SK313412|England|11|2013|2023|UKBMS|52.9673|-1.5354|-1.040|-1.049|0.9366
Clough Wood (Darley Bridge)|SK257617|England|10|2014|2023|UKBMS|53.1518|-1.6172|0.937|-1.242|0.9769
Belper Parks LNR|SK352472|England|10|2014|2023|UKBMS|53.0209|-1.4767|2.259|-1.420|0.7700
Wyver Lane, Belper|SK343493|England|10|2014|2023|UKBMS|53.0399|-1.4899|2.788|1.721|0.6080
Pleasley Pit LNR|SK498644|England|10|2014|2023|UKBMS|53.1744|-1.2564|2.670|2.647|0.8538
Allestree Park LNR|SK350405|England|10|2014|2023|UKBMS|52.9607|-1.4804|2.071|-1.660|0.8300
Doe Lea & Glapwell Pit|SK467671|England|10|2014|2023|UKBMS|53.1989|-1.3024|0.451|-1.660|0.9205
Blackwell Trail|SK430576|England|10|2014|2023|UKBMS|53.1139|-1.3590|6.538|1.114|0.2943
Alsop Moor|SK158571|England|10|2014|2023|UKBMS|53.1109|-1.7654|5.157|4.825|0.3488
Mickleover Meadows LNR|SK314357|England|8|2014|2023|UKBMS|52.9178|-1.5345|5.507|3.501|0.7408
